num_id,id,Duplicate,Av_Diameter_mm,Height_cm,Leaf_Area_cm2,Av_SLA _mg/cm2,Jmax25,Rdlight25,Resistwp25,Resistch25,gamma*25,phifactor,thetafactor,betaPSII,Flu.Anet.SumSqure,Flu.Electron.SumS,ALightcurveNo,PARatZeroAnet,der_atPAR,Asat_ALight,ALightIntercept,der_atIntercept,der_atPARend,PhiPSIIsat_ALight,PhiPSIILightIntercep,der_atIntercept,der_atPhiPSIIend
74,besc-301.csv,Unique,14.27,273,26.95,2.272727273,22.300034,0.412151,8.195543,0,0.25003,0.879221,0.965943,0.282904,0.94787,1.75954,1,7.734588,0.037552,4.466912,-0.299673,0.03996,0.000001,0.065547,0.708254,-0.001994,-0.000048
75,besc-304.csv,Unique,6.14,103.5,17.14,3.441558442,22.22337,0.530208,0,0,0,0.8052,0.646291,0.264283,1.4844,0.000523,1,19.343329,0.031007,3.976085,-0.646234,0.035925,0.000003,0.058579,0.574097,-0.001678,-0.000034
76,Besc-307.csv,Unique,7.365,72,28.01,2.922077922,123.667685,3.087414,1.518484,0,0.392794,1.080833,0.76393,0.376018,1.802352,0.155403,1,52.8883,0.060777,18.494397,-3.472993,0.070726,0.000064,0.004578,0.760214,-0.000577,-0.000125
77,Besc-309.csv,Unique,11.065,214,94.53,2.012987013,30.512326,0.970403,0,0,0,0.658393,0.996882,0.205245,1.643036,3.018347,1,30.314846,0.01585,7.618001,-0.466985,0.014901,0.000339,-0.300044,0.540597,-0.000451,-0.000237
78,besc-31.csv,Unique,6.035,157.5,37.36,2.337662338,19.191409,0,7.692546,0,0.203014,0.840876,1.008154,0.280152,1.636687,4.706572,1,-0.212364,0.048357,4.252881,0.010257,0.048243,0,0.285722,6.50659,-2.741067,0
79,besc-310.csv,Unique,11.275,177.5,65.54,4.366883117,70.987549,1.122628,1.153587,0,0.177755,1.034289,0.609962,0.293453,1.449975,0.000837,1,30.664451,0.04924,8.928901,-1.575003,0.053238,0.000014,0.403623,7.173472,-4.32953,0
80,Besc-311.csv,Unique,4.665,82,39.52,1.948051948,17.089732,0,0,0,0,0.870136,0.783138,0.198316,1.650922,0,1,-97.055126,0.015707,4.54312,1.301976,0.011341,0.00016,0.064412,0.650422,-0.001701,-0.000053
81,besc-318.csv,Unique,12.205,227,30.04,2.824675325,24.339119,0.430696,5.38042,0,0.23439,0.937029,0.878015,0.257134,1.462956,0.299157,1,12.373827,0.03763,5.387116,-0.485716,0.04092,0.000008,0.315901,4.160097,-1.418921,0
82,Besc-321.csv,Unique,6.445,164.5,106.38,2.272727273,96.625167,0.226173,1.048052,0,1.542208,0.947741,0.91207,0.446493,1.557848,5.074171,1,12.024392,0.06937,16.002484,-0.854233,0.072734,0.000309,-0.218595,0.7163,-0.000592,-0.000277
83,Besc-322.csv,Unique,6.515,174.5,79.35,1.883116883,86.104664,3.779075,2.31607,0,0.953016,1.017817,0.936979,0.341171,2.873368,8.933097,1,73.112729,0.048616,9.764779,-4.233306,0.068115,0.000002,-0.008051,0.775872,-0.000618,-0.000128
84,Besc-327.csv,Unique,10.775,208,64.29,3.116883117,39.427288,2.593511,3.798554,0,0.042916,0.986187,0.953145,0.325277,0.962203,0.308517,1,56.544449,0.047735,7.21447,-2.902259,0.053269,0.000003,0.383787,6.482948,-3.851792,0
85,besc-332.csv,Unique,11.735,233,77.57,3.668831169,47.041703,0.436028,2.126678,0,0.908936,0.985919,0.953466,0.307073,1.530151,2.63293,1,13.059161,0.054153,8.688959,-0.735339,0.058513,0.000027,0.015221,0.75725,-0.001055,-0.000192
86,besc-333.csv,Unique,12.39,165,44.32,4.090909091,33.326153,1.008832,0,0,0,0.9567,0.979169,0.262723,2.10745,1.722226,1,28.972292,0.059132,8.395475,-1.890662,0.071745,0.000012,0.371598,9.12589,-4.539634,0
87,besc-334.csv,Unique,11.755,175,89.42,3.051948052,107.38701,2.500215,1.442377,0,0.909678,0.979274,0.906547,0.451798,0.555254,3.955063,1,41.337337,0.059535,15.476022,-2.478233,0.05974,0.000117,-0.338808,0.726999,-0.000581,-0.000302
88,besc-343.csv,Unique,6.34,180.5,47.69,5.194805195,13.915885,0.096526,11.21844,0,0.038325,0.830203,0.98441,0.245645,0.734126,1.202313,1,3.637874,0.040913,3.352492,-0.152129,0.042736,0,0.063451,0.711874,-0.002659,-0.000019
89,besc-345.csv,Unique,13.05,242,31.68,4.237012987,50.221795,0.324389,2.000085,0.199842,0,1.027033,0.899034,0.328394,1.478441,0.024222,1,13.170153,0.059913,11.514076,-0.791593,0.060178,0.000006,0.41029,7.6912,-4.971517,0
90,besc-350.csv,Unique,11.415,193.5,60.08,2.792207792,46.943741,1.485572,3.329135,0,2.798562,0.973738,0.881669,0.387514,0.192751,0.158977,1,35.246368,0.043079,5.052035,-1.742799,0.056243,0.000001,0.058431,0.732349,-0.001319,-0.000125
91,besc-351.csv,Unique,13.94,237,56.52,7.337662338,41.491024,3.193431,3.127265,0,0.514353,1.016177,0.925015,0.270463,1.412005,0.615153,1,80.124478,0.035577,6.54787,-3.533703,0.053752,0.00007,0.035578,0.752343,-0.001052,-0.00018
92,besc-354.csv,Unique,10.825,188,94.57,3.701298701,57.553231,0.721909,2.165474,0,2.640505,0.951985,0.891137,0.392123,0.694997,1.625817,1,16.095134,0.048674,8.845223,-0.817276,0.052935,0.000058,0.395658,8.994448,-4.595195,0
93,besc-357.csv,Unique,15.045,281.5,30.33,9.177489177,54.02181,1.340622,2.127146,0,0.367373,1.053667,0.926352,0.341164,0.965458,0.072267,1,28.097004,0.059156,10.798525,-1.753998,0.065638,0.000032,-0.06116,0.77859,-0.000979,-0.000241
94,besc-358.csv,Unique,12.495,191.2,77.27,6.396103896,48.573976,2.379771,3.09743,0,0.283239,0.970728,0.955165,0.301846,0.910444,3.459933,1,52.529778,0.047474,9.147169,-2.843318,0.061292,0.000103,0.435662,8.234078,-4.222795,0
95,Besc-36.csv,Sameleaf_Dup,8.21,135,80.88,2.727272727,49.377511,0.709713,0,0,0,0.913255,0.770235,0.187342,1.520115,0.124939,1,4.700895,0.017834,10.222191,-0.083823,0.017829,0.000127,-0.157909,0.666733,-0.000527,-0.000245
96,besc-36.csv,Unique,8.21,135,80.88,2.727272727,45.751525,1.944085,3.630339,0,0.007589,0.807947,0.967586,0.255026,1.357379,26.565406,1,61.601241,0.035176,10.879788,-2.378422,0.042218,0.00005,0.383223,7.330364,-4.059891,0
97,besc-363.csv,Unique,12.84,267,129.75,8.402597403,38.454366,1.227462,0,0,0,1.00164,0.8872,0.268119,1.100606,0.46705,1,33.229176,0.04326,9.38347,-1.546549,0.049964,0.000167,0.408426,3.831541,-1.352292,0
98,besc-37.csv,Unique,11.95,185,93.11,4.545454545,89.46438,3.258504,1.555064,0,4.489214,1.030912,0.876323,0.451778,0.599206,0.706719,1,70.767969,0.042537,7.917717,-3.623028,0.060813,0.000085,-0.020483,0.753285,-0.000809,-0.000231
99,besc-373.csv,Unique,14.34,241.5,45.26,7.061688312,50.602772,1.489699,2.830479,0,0.019239,1.026309,0.92092,0.335075,0.844265,0.111352,1,33.415402,0.046192,11.160708,-1.454094,0.040116,0.000009,-0.026869,0.757031,-0.001026,-0.000214
